id,megjegy,sex,age,body,proc,aktiv,date,body.size,activity
69,OK,m,juvenil,9.55,1,patanyomban,2016-03-21,small,vegetation
78,OK,m,juvenil,10.27,0.96,járat,2016-03-22,small,tunnel
81,OK,m,juvenil,10.49,1.32,Achillea1,2016-03-22,small,feed_on
88,OK,m,juvenil,10.61,1.19,járat,2016-03-22,small,tunnel
189,OK,m,juvenil,10.34,1.19,ült,2016-03-25,small,vegetation
204,OK,m,juvenil,10.22,1.49,járat,2016-03-29,small,tunnel
220,OK,m,juvenil,10.46,1.32,járat,2016-03-29,small,tunnel
229,OK,m,juvenil,9.37,0.89,mászott,2016-03-29,small,vegetation
233,OK,m,juvenil,10.51,1.44,ásott,2016-03-29,small,dig
252,OK,m,juvenil,10.57,1.97,ásott,2016-03-30,small,dig
284,OK,m,juvenil,9.97,1.15,járat fű,2016-03-30,small,tunnel
386,OK,m,juvenil,10.29,0.88,ásott,2016-03-31,small,dig
390,OK,m,juvenil,10.22,1.18,patanyomban,2016-04-01,small,vegetation
399,OK,m,juvenil,10.24,1.06,patanyomban,2016-04-01,small,vegetation
402,OK,m,juvenil,10.42,1.42,ásott,2016-04-01,small,dig
408,OK,m,juvenil,9.95,0.86,ült,2016-04-01,small,vegetation
439,OK,m,old,10.24,1.06,járat,2016-04-01,small,tunnel
474,OK,m,juvenil,10.37,1.37,járat,2016-04-03,small,tunnel
564,OK,m,old,10.31,0.84,harc,2016-04-06,small,fight
683,OK,m,old,9.57,0.86,682 copula!,2016-04-11,small,mating
688,OK,m,old,10.31,1.09,ült,2016-04-11,small,vegetation
708,OK,m,old,10.67,1.2,járat,2016-04-11,small,tunnel
731,OK,m,old,10.27,0.9,járat,2016-04-12,small,tunnel
745,OK,m,juvenil,10.45,1.21,járat,2016-04-12,small,tunnel
755,OK,m,juvenil,10.33,1.23,ült,2016-04-12,small,vegetation
770,OK,m,old,10.17,1.04,ült,2016-04-12,small,vegetation
818,OK,m,juvenil,10.65,1.05,mászott,2016-04-13,small,vegetation
835,OK,m,old,9.72,1.05,ült,2016-04-13,small,vegetation
841,OK,m,intermediate,10.68,1.12,790-járat,2016-04-13,small,tunnel
963,OK,m,juvenil,10.41,1.33,járat néző,2016-04-16,small,vegetation
1003,OK,m,juvenil,10.63,1.54,pókolt,2016-04-17,small,mating
1082,OK,m,juvenil,10.4,0.99,mászott,2016-04-20,small,vegetation
1106,OK,m,juvenil,10.66,1.65,ült,2016-04-21,small,vegetation
1133,OK,m,juvenil,10.58,1.14,Harc 1134 vesztett,2016-04-21,small,fight
1171,OK,m,juvenil,9.8,0.86,mászott,2016-04-22,small,vegetation
1182,OK,m,juvenil,10.35,1.12,ült,2016-04-22,small,vegetation
1189,OK,m,juvenil,10.13,1.43,mászott,2016-04-22,small,vegetation
1288,OK,m,juvenil,9.79,1.19,K1 járat,2016-05-02,small,tunnel
1297,OK,m,old,9.83,0.87,ült,2016-05-02,small,vegetation
1318,OK,m,juvenil,10.51,1.18,mászott,2016-05-02,small,vegetation
1345,XY,m,juvenil,10.51,1.54,ült,2016-05-02,small,vegetation
1375,OK,m,old,10.58,1.33,mászott,2016-05-03,small,vegetation
1398,OK,m,juvenil,9.91,0.79,ült,2016-05-03,small,vegetation
1414,OK,m,juvenil,9.77,0.7,ült,2016-05-03,small,vegetation
1460,OK,m,intermediate,10.38,1.14,levél,2016-05-04,small,feed_on
1466,OK,m,juvenil,10.66,1.62,pókolt 1467-nek,2016-05-04,small,mating
1471,OK,m,juvenil,10.15,0.87,mászott,2016-05-04,small,vegetation
1488,OK,m,juvenil,10.67,1.22,harc 655-tel,2016-05-04,small,fight
1515,OK,m,intermediate,10.56,1.09,járat,2016-05-05,small,tunnel
1542,OK,m,juvenil,10.58,1.21,mászott,2016-05-05,small,vegetation
1581,NEWN,m,juvenil,10.18,0.7,mászott,2016-05-06,small,vegetation
1643,OK,m,juvenil,10.2,1.07,ült,2016-05-07,small,vegetation
1653,OK,m,juvenil,10.68,1.02,ült,2016-05-07,small,vegetation
1661,OK,m,juvenil,10.65,1.15,mászott,2016-05-07,small,vegetation
1670,OK,m,juvenil,10.67,1.29,mászott,2016-05-12,small,vegetation
1725,OK,m,juvenil,10.45,1.06,mászott,2016-05-16,small,vegetation
1763,OK,m,juvenil,10.59,1.11,mászott,2016-05-18,small,vegetation
1765,OK,m,juvenil,10.24,1.08,mászott,2016-05-19,small,vegetation
1777,OK,m,juvenil,10.62,1.03,járat,2016-05-19,small,tunnel
13,OK,m,juvenil,12.15,3.53,mélyedés,2016-03-17,med,vegetation
19,OK,m,juvenil,12.06,3.31,mászott,2016-03-18,med,vegetation
21,OK,m,juvenil,12.04,3.16,járat,2016-03-18,med,tunnel
23,OK,m,juvenil,12.03,3.18,mászott,2016-03-18,med,vegetation
25,OK,m,juvenil,11.32,1.77,ült,2016-03-18,med,vegetation
26,OK,m,juvenil,12,3.21,ült,2016-03-18,med,vegetation
38,OK,m,juvenil,11.64,3.4,ásott,2016-03-18,med,dig
42,OK,m,juvenil,11.43,1.78,járat,2016-03-21,med,tunnel
43,OK,m,juvenil,12.1,3.2,mászott,2016-03-21,med,vegetation
47,OK,m,juvenil,12.09,3.64,patanyomban,2016-03-21,med,vegetation
49,OK,m,juvenil,11.93,3.72,járat,2016-03-21,med,tunnel
50,OK,m,juvenil,10.97,1.81,patanyomban,2016-03-21,med,vegetation
52,OK,m,juvenil,11.6,2.36,patanyomban,2016-03-21,med,vegetation
60,OK,m,juvenil,12.06,3.56,járat,2016-03-21,med,tunnel
62,OK,m,juvenil,12.28,3.35,fű,2016-03-21,med,feed_on
65,OK,m,juvenil,12.24,3.8,járat,2016-03-21,med,vegetation
67,OK,m,juvenil,11.19,2.12,Achillea,2016-03-21,med,feed_on
70,OK,m,juvenil,10.97,2.55,ült,2016-03-21,med,vegetation
71,OK,m,juvenil,11.82,3.63,ásott,2016-03-21,med,dig
76,OK,m,juvenil,12,3.36,ásott,2016-03-21,med,dig
79,OK,m,juvenil,11.94,3.2,járat,2016-03-22,med,tunnel
85,OK,m,juvenil,11.58,2.35,mászott,2016-03-22,med,vegetation
90,OK,m,juvenil,12.24,3.45,Achillea járat,2016-03-22,med,feed_on
93,OK,m,juvenil,11.7,3.04,járat,2016-03-22,med,tunnel
95,OK,m,juvenil,11.71,3.35,levél,2016-03-22,med,feed_on
104,OK,m,juvenil,11.77,2,járat,2016-03-22,med,tunnel
105,OK,m,juvenil,11.92,3.13,fű,2016-03-22,med,feed_on
138,OK,m,juvenil,12.29,3.1,járat,2016-03-24,med,tunnel
141,OK,m,juvenil,12.31,3.31,Elzavarta 140-est,2016-03-24,med,fight
143,OK,m,juvenil,12.14,3.57,ült,2016-03-24,med,vegetation
148,OK,m,juvenil,11.6,2.04,mászott,2016-03-24,med,vegetation
152,OK,m,juvenil,12.15,3.3,ült,2016-03-24,med,vegetation
159,OK,m,juvenil,11.84,2.67,fű,2016-03-25,med,feed_on
160,OK,m,juvenil,11.98,3,mászott,2016-03-25,med,vegetation
161,OK,m,juvenil,11.97,3.26,járat,2016-03-25,med,tunnel
163,OK,m,juvenil,10.8,1.55,járat,2016-03-25,med,tunnel
173,OK,m,juvenil,12.23,3.56,mászott,2016-03-25,med,vegetation
