"","id","lon","lat","ele","date","sex","age","body","proc"
"1",1,738854.091362958,326452.661587713,227.508057,"2016-03-17","f","juvenil",11.62,0
"2",2,738891.412991123,326526.973869011,225.380737,"2016-03-17","f","juvenil",12.15,0
"3",3,738885.970871575,326513.877430467,223.532028,"2016-03-17","f","juvenil",12.09,0
"4",3,738887.610688734,326513.457641105,220.969299,"2016-03-30","f","juvenil",12.09,0
"5",4,739017.731439725,326496.098264673,219.101501,"2016-03-17","f","juvenil",11.71,0
"6",5,738981.00683838,326508.882137434,218.907898,"2016-03-17","f","old",11.98,0
"7",6,738955.816630488,326519.952149392,222.735107,"2016-03-17","m","juvenil",13.73,4.58
"8",6,738957.787434851,326517.312984781,219.823135,"2016-03-30","m","juvenil",13.73,4.58
"9",6,738867.805554324,326449.20110627,217.537003,"2016-04-07","m","juvenil",13.73,4.58
"10",7,738955.179247588,326517.940364812,221.284698,"2016-03-17","m","juvenil",12.58,3.78
"11",8,738919.905416328,326532.971314366,224.804245,"2016-03-17","m","juvenil",12.48,3.22
"12",9,738863.07640465,326452.576646921,217.523499,"2016-03-17","m","juvenil",12.36,2.92
"13",10,738886.124303233,326440.8060986,210.426422,"2016-03-17","f","juvenil",11.81,0
"14",11,738913.302274575,326522.971320391,220.849045,"2016-03-17","f","old",11.68,0
"15",12,738934.4987071,326515.732765943,221.926956,"2016-03-17","f","juvenil",12.62,0
"16",13,738939.256087195,326515.360743986,220.320587,"2016-03-17","m","juvenil",12.15,3.53
"17",14,738981.618454611,326502.885452287,218.13147,"2016-03-17","m","juvenil",13.63,4.11
"18",14,738984.199384951,326504.037239109,219.39386,"2016-03-24","m","juvenil",13.63,4.11
"19",15,738995.813002721,326501.990770746,219.985641,"2016-03-17","m","juvenil",12.63,3.54
"20",16,739013.51330938,326500.037635406,219.397461,"2016-03-17","f","juvenil",10.89,0
"21",17,739027.078364574,326511.145497567,221.148102,"2016-03-17","m","juvenil",13.01,4.13
"22",17,739032.6838601,326513.567139312,221.118774,"2016-03-21","m","juvenil",13.01,4.13
"23",18,738929.343223149,326527.554693638,223.908478,"2016-03-17","m","juvenil",13.44,3.81
"24",19,738833.269383871,326590.704727978,241.158966,"2016-03-18","m","juvenil",12.06,3.31
"25",20,738831.577482387,326589.67783267,241.498047,"2016-03-18","m","juvenil",12.32,3.81
"26",21,738825.447290187,326587.582027302,241.062424,"2016-03-18","m","juvenil",12.04,3.16
"27",22,738801.266889456,326595.776347594,247.34903,"2016-03-18","f","juvenil",11.25,0
"28",23,738860.032389975,326457.423882749,220.205734,"2016-03-18","m","juvenil",12.03,3.18
"29",23,738788.083979873,326603.360369151,248.625305,"2016-04-20","m","juvenil",12.03,3.18
"30",23,738860.83456247,326565.10028351,233.924362,"2016-04-28","m","juvenil",12.03,3.18
"31",24,738873.739578461,326493.225116416,224.11174,"2016-03-18","m","juvenil",12.57,3.88
"32",25,738886.599093621,326521.339007516,226.136963,"2016-03-18","m","juvenil",11.32,1.77
"33",26,738792.424826992,326601.091062196,249.043839,"2016-03-18","m","juvenil",12,3.21
"34",27,738795.138897111,326603.245811314,248.20549,"2016-03-18","m","juvenil",12.6,4.07
"35",28,738798.677959481,326604.857062572,248.239227,"2016-03-18","f","juvenil",11.71,0
"36",28,739020.279054912,326494.580197437,216.278763,"2016-05-07","f","juvenil",11.71,0
"37",29,738930.682292921,326541.923009194,225.950104,"2016-03-18","m","juvenil",13.6,4.21
"38",30,738978.906108336,326500.619419741,220.98764,"2016-03-18","m","juvenil",12.83,3.9
"39",31,738974.294507905,326496.322264903,217.481049,"2016-03-18","m","juvenil",12.53,3.87
"40",32,738942.921215254,326508.743489696,218.541107,"2016-03-18","f","juvenil",11.59,0
"41",33,738941.203038579,326514.278334618,218.777084,"2016-03-18","m","juvenil",12.79,3.91
"42",34,738899.399928919,326533.880772851,223.065643,"2016-03-18","f","old",10.84,0
"43",35,738823.867037756,326584.109929822,239.756805,"2016-03-18","f","juvenil",12.2,0
"44",35,738822.87487262,326585.874324297,244.505585,"2016-03-21","f","juvenil",12.2,0
"45",36,738795.730409052,326608.259905999,247.59462,"2016-03-18","m","juvenil",13.06,4.06
"46",36,738791.771496995,326604.973886352,248.258209,"2016-04-03","m","juvenil",13.06,4.06
"47",37,738792.499053506,326601.092197331,245.783096,"2016-03-18","f","juvenil",10.69,0
"48",37,738791.398664165,326605.079408033,246.147064,"2016-03-29","f","juvenil",10.69,0
"49",37,738782.846205778,326601.167032393,248.170914,"2016-03-30","f","juvenil",10.69,0
"50",37,738782.445579413,326607.945527349,249.251801,"2016-04-07","f","juvenil",10.69,0
"51",38,738795.989400279,326601.034352434,246.327072,"2016-03-18","m","juvenil",11.64,3.4
"52",38,738797.127206894,326594.600802387,246.152771,"2016-04-03","m","juvenil",11.64,3.4
"53",39,738885.450248426,326509.086859542,222.537704,"2016-03-18","f","juvenil",12,0
"54",40,738868.658464647,326441.984650107,216.396271,"2016-03-18","m","juvenil",12.71,4.92
"55",41,738897.195923209,326527.507300017,222.111023,"2016-03-18","f","juvenil",11.64,0
"56",42,738990.014136429,326517.028260285,224.782867,"2016-03-21","m","juvenil",11.43,1.78
"57",43,738936.869151703,326525.779171392,228.384109,"2016-03-21","m","juvenil",12.1,3.2
"58",44,738939.434750436,326527.931713308,225.989182,"2016-03-21","m","juvenil",11.96,4.05
"59",45,738913.431302072,326529.0905773,231.414795,"2016-03-21","f","old",11.68,0
"60",46,738908.287098785,326545.027958435,233.001434,"2016-03-21","f","juvenil",10.67,0
"61",47,738824.605279592,326589.237495353,243.676285,"2016-03-21","m","juvenil",12.09,3.64
"62",48,738811.03030373,326588.473719984,249.491608,"2016-03-21","f","juvenil",11.71,0
"63",48,738812.32107251,326586.602667731,242.585007,"2016-03-30","f","juvenil",11.71,0
"64",48,738813.252614898,326583.947557838,245.069061,"2016-03-31","f","juvenil",11.71,0
"65",49,738810.444994636,326587.908650648,247.835571,"2016-03-21","m","juvenil",11.93,3.72
"66",49,738815.020448915,326584.864385927,243.897659,"2016-03-21","m","juvenil",11.93,3.72
"67",49,738814.599987952,326588.083429831,244.703827,"2016-03-22","m","juvenil",11.93,3.72
"68",50,738807.561450701,326591.979806837,245.800156,"2016-03-21","m","juvenil",10.97,1.81
"69",50,738806.21796027,326597.297975981,245.874573,"2016-03-22","m","juvenil",10.97,1.81
"70",50,738803.826308771,326593.479803593,247.988083,"2016-03-23","m","juvenil",10.97,1.81
"71",50,738805.054145928,326595.723049154,246.992416,"2016-03-24","m","juvenil",10.97,1.81
"72",50,738801.405138465,326596.445801804,247.402588,"2016-03-25","m","juvenil",10.97,1.81
"73",51,738805.071153553,326594.61107632,251.889816,"2016-03-21","f","juvenil",10.41,0
"74",52,738801.418744008,326595.556223525,255.15947,"2016-03-21","m","juvenil",11.6,2.36
"75",52,738798.939256839,326592.626496201,248.789093,"2016-03-21","m","juvenil",11.6,2.36
"76",52,738800.094570132,326594.7574082,244.790558,"2016-03-31","m","juvenil",11.6,2.36
"77",52,738800.37617046,326595.762724699,245.700653,"2016-04-06","m","juvenil",11.6,2.36
"78",52,738799.949518269,326594.532743166,244.82962,"2016-04-07","m","juvenil",11.6,2.36
"79",52,738791.469489619,326605.302937739,247.53511,"2016-04-15","m","juvenil",11.6,2.36
"80",52,738789.954351816,326607.281786776,247.290741,"2016-04-16","m","juvenil",11.6,2.36
"81",52,738789.470476568,326604.938697916,249.716644,"2016-04-21","m","juvenil",11.6,2.36
"82",53,738805.954461834,326599.963304889,248.470718,"2016-03-21","f","juvenil",12.01,0
"83",54,738807.186307201,326597.09034053,248.589325,"2016-03-21","f","juvenil",10.23,0
"84",55,738792.012882056,326603.754121523,247.790039,"2016-03-21","f","old",11.97,0
"85",55,738794.377926071,326604.457629879,247.659515,"2016-03-29","f","old",11.97,0
"86",55,738794.776267513,326602.68414903,248.853897,"2016-03-30","f","old",11.97,0
"87",55,738791.553919119,326604.636889102,249.597321,"2016-03-31","f","old",11.97,0
"88",55,738794.27989177,326606.013256807,249.868393,"2016-04-01","f","old",11.97,0
"89",55,738806.084328853,326586.618495718,241.828171,"2016-04-13","f","old",11.97,0
"90",56,738843.46863805,326579.182337261,239.072052,"2016-03-21","m","juvenil",13.01,3.81
"91",56,738842.134257199,326579.050695982,239.82579,"2016-03-22","m","juvenil",13.01,3.81
"92",56,738842.053224535,326579.494349268,240.497284,"2016-03-25","m","juvenil",13.01,3.81
"93",57,738844.519723779,326578.419857531,236.680984,"2016-03-21","f","juvenil",12.08,0
"94",57,738842.102567067,326576.269628626,239.342773,"2016-03-21","f","juvenil",12.08,0
"95",57,738842.083850934,326577.492798518,238.683197,"2016-03-25","f","juvenil",12.08,0
"96",57,738843.192148724,326577.843426956,240.691833,"2016-03-30","f","juvenil",12.08,0
"97",57,738842.613647512,326576.833565351,237.231064,"2016-03-31","f","juvenil",12.08,0
"98",57,738843.497563442,326577.291983784,240.805298,"2016-04-02","f","juvenil",12.08,0
"99",57,738793.721791658,326603.669032444,250.218918,"2016-04-02","f","juvenil",12.08,0
"100",57,738844.255145207,326576.302566344,239.685638,"2016-04-03","f","juvenil",12.08,0
"101",57,738842.815910219,326578.171339842,238.573853,"2016-04-06","f","juvenil",12.08,0
"102",57,738843.188745748,326578.065821482,239.788818,"2016-04-07","f","juvenil",12.08,0
"103",57,738838.469921753,326580.774200639,240.762146,"2016-04-11","f","juvenil",12.08,0
"104",57,738791.054229765,326593.618141357,244.686371,"2016-04-12","f","juvenil",12.08,0
"105",58,738854.979544868,326574.130988558,236.30899,"2016-03-21","f","juvenil",11.73,0
"106",59,738883.794438809,326515.401238335,230.194702,"2016-03-21","m","juvenil",13.32,3.55
"107",60,738859.456474701,326436.838770489,215.267197,"2016-03-21","m","juvenil",12.06,3.56
"108",61,738865.662092556,326443.718361497,216.018417,"2016-03-21","m","juvenil",13.63,4.18
"109",62,738971.155001792,326507.396485839,220.140625,"2016-03-21","m","juvenil",12.28,3.35
"110",63,738997.187537858,326504.347528667,216.296967,"2016-03-21","f","juvenil",12.06,0
"111",64,739008.293497938,326501.51474079,220.063309,"2016-03-21","m","juvenil",13.33,4.35
"112",65,739008.571033777,326517.312705485,220.190933,"2016-03-21","m","juvenil",12.24,3.8
"113",65,739003.531148145,326511.896727893,223.912659,"2016-03-31","m","juvenil",12.24,3.8
