"X","ID","sex","B.width","Tusk","days","Age","no.recaptures","tot.dist","max.dist","dist.a.day","rel.bodywidth"
1,3,"f",12.09,0,13,"juvenil",1,1.69247902989199,1.69247902989199,0.130190694607076,0.492490046791044
5,35,"f",12.2,0,3,"juvenil",1,2.02396494579278,2.02396494579278,0.674654981930927,0.649815027518381
7,37,"f",10.69,0,20,"juvenil",2,16.1931197089159,9.40365766102416,0.809655985445795,-1.50982788973871
9,46,"f",10.67,0,42,"juvenil",1,5.44122570352062,5.44122570352062,0.129552992940967,-1.53843243168914
10,48,"f",11.71,0,10,"juvenil",2,5.0862225192236,2.81342634551085,0.50862225192236,-0.0509962502670311
14,55,"f",11.97,0,23,"old",6,34.5727754641264,21.0580284308585,1.50316415061419,0.320862795088495
16,57,"f",12.08,0,22,"juvenil",11,442.474198878565,172.180140547135,20.1124635853893,0.478187775815832
18,68,"f",9.45,0,26,"juvenil",2,10.6746119017263,7.48096293260572,0.410561996220242,-3.28330949066507
22,72,"f",10.59,0,8,"juvenil",2,17.6331871436577,14.1174502146778,2.20414839295721,-1.65285059949084
28,92,"f",12.12,0,43,"juvenil",1,105.045511689088,105.045511689088,2.44291887649042,0.535396859716681
30,97,"f",12.3,0,0,"juvenil",1,6.33373387855708,6.33373387855708,Inf,0.792837737270509
36,112,"f",13.27,3.9,6,"juvenil",1,4.98060029296656,4.98060029296656,0.83010004882776,2.18015802186612
39,131,"f",10.55,0,10,"intermediate",1,4.22903450961153,4.22903450961153,0.422903450961153,-1.71005968339169
40,137,"f",11.23,0,13,"juvenil",4,24.0100155652316,10.4705098021241,1.84692427424858,-0.737505257077234
42,139,"f",10.35,0,7,"juvenil",1,3.17042674173427,3.17042674173427,0.452918105962039,-1.99610510289594
43,140,"f",10.15,0,9,"juvenil",3,13.2776683611379,8.78731991764989,1.47529648457088,-2.28215052240019
46,144,"f",11.46,0,8,"juvenil",1,13.5834776183235,13.5834776183235,1.69793470229044,-0.408553024647345
47,145,"f",10.3,0,5,"juvenil",1,1.96044118061473,1.96044118061473,0.392088236122946,-2.067616457772
48,146,"f",11.81,0,6,"old",1,34.2060624101117,34.2060624101117,5.70101040168528,0.0920264594850938
49,147,"f",12.22,0,14,"old",3,144.523651155678,109.238419193568,10.3231179396913,0.678419569468808
50,157,"f",10.41,0,9,"juvenil",3,9.46757677803549,4.04767727214512,1.05195297533728,-1.91029147704466
56,165,"f",11.59,0,0,"juvenil",1,7.46852574442145,7.46852574442145,Inf,-0.222623501969583
59,174,"f",12.1,0,4,"old",1,1.55795366391939,1.55795366391939,0.389488415979848,0.506792317766256
62,186,"f",12.02,0,13,"juvenil",3,20.0466915659138,10.1247627985616,1.54205319737798,0.392374149964556
77,217,"f",11.44,0,13,"juvenil",2,19.7156153440777,16.4869618012701,1.51658579569828,-0.437157566597772
86,241,"f",12.61,0,55,"old",4,13.2342733033594,6.60346568045968,0.240623150970171,1.2362081375021
88,245,"f",12.32,0,9,"old",1,8.54629407694864,8.54629407694864,0.949588230772071,0.821442279220933
93,255,"f",11.03,0,12,"juvenil",1,8.36596803134885,8.36596803134885,0.697164002612404,-1.02355067658149
94,258,"f",12.39,0,13,"juvenil",5,10.1198385944499,3.2167359508329,0.778449122649992,0.921558176047421
96,261,"f",11.72,0,4,"juvenil",3,17.3469710558818,9.78210790790842,4.33674276397045,-0.0366939792918189
99,267,"f",11.33,0,2,"juvenil",1,1.23213331300751,1.23213331300751,0.616066656503755,-0.594482547325109
102,271,"f",12.07,0,16,"juvenil",4,40.5810930889367,18.7845241347251,2.53631831805854,0.46388550484062
109,281,"f",11.54,0,12,"juvenil",2,14.9641324383041,12.0501685431118,1.24701103652534,-0.294134856845647
110,297,"f",12.64,0,4,"juvenil",2,3.0305792985834,1.69416255115911,0.75764482464585,1.27911495042773
113,303,"f",11.87,0,29,"old",5,400.926513090084,178.265503720362,13.8250521755201,0.177840085336367
115,313,"f",10.12,0,2,"juvenil",1,1.69402671836746,1.69402671836746,0.84701335918373,-2.32505733532583
118,316,"f",10.67,0,7,"juvenil",2,4.83770312942852,4.83770312942852,0.691100447061217,-1.53843243168914
119,318,"f",12.52,0,16,"juvenil",7,499.754954753979,239.68446943801,31.2346846721237,1.10748769872518
120,319,"f",12.38,0,14,"juvenil",1,5.04232454434958,5.04232454434958,0.360166038882113,0.907255905072209
121,320,"f",11.24,0,3,"juvenil",2,16.0270345814595,8.40592037909373,5.3423448604865,-0.723202986102021
123,322,"f",11.93,0,34,"old",1,177.543466720247,177.543466720247,5.22186666824256,0.263653711187643
132,339,"f",11.39,0,22,"intermediate",2,16.9675471811664,12.2513983751686,0.771252144598473,-0.508668921473833
134,343,"f",11.46,0,13,"juvenil",1,7.80346007414981,7.80346007414981,0.600266159549985,-0.408553024647345
137,349,"f",11.95,0,0,"juvenil",1,25.5944910844394,25.5944910844394,Inf,0.292258253138068
138,350,"f",12.46,0,16,"intermediate",1,0.774856727952114,0.774856727952114,0.0484285454970071,1.02167407287391
142,364,"f",12.67,0,3,"intermediate",1,3.69640109677751,3.69640109677751,1.23213369892584,1.32202176335337
145,367,"f",11.43,0,11,"juvenil",4,32.3283403212321,18.1517687255554,2.93894002920292,-0.451459837572984
147,371,"f",10.17,0,2,"juvenil",2,6.11861145875951,3.22166854779105,3.05930572937975,-2.25354598044976
150,384,"f",11.24,0,11,"juvenil",1,153.910998762888,153.910998762888,13.9919089784444,-0.723202986102021
160,414,"f",11.21,0,1,"juvenil",1,1.00351397719478,1.00351397719478,1.00351397719478,-0.766109799027658
