"id","no.cap","sex","age","aktiv","date","cap.recap","comment","x.coord","y.coord","elev.map.b","Distance","body","proc","date.of.catch","id","diff.days","rel.bodywidth","st.date","day","day.from.1st.catch"
"3",2,"f","juvenil","","2016-03-30","r","died",738887.610689,326513.457641,221.046875,1.69247902989199,12.09,0,"2016-03-17","3",13,0.507082090337112,2016-03-17,13,0
"35",2,"f","juvenil","dig","2016-03-21","r","",738822.874873,326585.874324,243.731033325195,2.02396494579278,12.2,0,"2016-03-18","35",3,0.663526860088945,2016-03-17,4,1
"37",3,"f","juvenil","travelled","2016-03-30","r","",738782.846206,326601.167032,248.384063720703,9.40365766102416,10.69,0,"2016-03-18","37",12,-1.48403316104987,2016-03-17,13,1
"37",4,"f","juvenil","travelled","2016-04-07","r","",738782.445579,326607.945527,248.007171630859,6.78946204789178,10.69,0,"2016-03-18","37",8,-1.48403316104987,2016-03-17,21,1
"46",2,"f","juvenil","dicon","2016-05-02","r","",738906.509742,326539.884471,225.382843017578,5.44122570352062,10.67,0,"2016-03-21","46",42,-1.51247766464111,2016-03-17,46,4
"48",3,"f","juvenil","nest","2016-03-31","r","",738813.252615,326583.947558,239.74250793457,2.81342634551085,11.71,0,"2016-03-21","48",9,-0.0333634778964951,2016-03-17,14,4
"48",2,"f","juvenil","travelled","2016-03-30","r","",738812.321073,326586.602668,243.045669555664,2.27279617371275,11.71,0,"2016-03-21","48",1,-0.0333634778964951,2016-03-17,13,4
"55",2,"f","old","nest","2016-03-29","r","",738794.377926,326604.45763,248.702484130859,2.46714643681085,11.97,0,"2016-03-21","55",8,0.336415068789658,2016-03-17,12,4
"55",5,"f","old","nest","2016-04-01","r","",738794.279892,326606.013257,249.810302734375,3.05335079107382,11.97,0,"2016-03-21","55",1,0.336415068789658,2016-03-17,15,4
"55",6,"f","old","nest","2016-04-02","r","",738793.721792,326603.669032,249.765258789062,2.40943795633894,11.97,0,"2016-03-21","55",1,0.336415068789658,2016-03-17,16,4
"55",3,"f","old","nest","2016-03-30","r","",738794.776268,326602.684149,248.749801635742,1.81743559872551,11.97,0,"2016-03-21","55",1,0.336415068789658,2016-03-17,13,4
"55",4,"f","old","nest","2016-03-31","r","",738791.553919,326604.636889,249.646499633789,3.76737625031878,11.97,0,"2016-03-21","55",1,0.336415068789658,2016-03-17,14,4
"55",7,"f","old","travelled","2016-04-13","r","",738806.084329,326586.618496,241.950927734375,21.0580284308585,11.97,0,"2016-03-21","55",11,0.336415068789658,2016-03-17,27,4
"57",3,"f","juvenil","nest","2016-03-25","r","",738842.083851,326577.492799,238.805038452148,1.22315805207889,12.08,0,"2016-03-21","57",0.5,0.492859838541491,2016-03-17,8,4
"57",4,"f","juvenil","nest","2016-03-30","r","",738843.192149,326577.843427,239.363388061523,1.16228923166414,12.08,0,"2016-03-21","57",4,0.492859838541491,2016-03-17,13,4
"57",5,"f","juvenil","nest","2016-03-31","r","",738842.613648,326576.833565,238.708190917969,1.1636750383115,12.08,0,"2016-03-21","57",5,0.492859838541491,2016-03-17,14,4
"57",6,"f","juvenil","nest","2016-04-01","r","",739005.258996,326520.264963,224.40007019043,172.180140547135,12.08,0,"2016-03-21","57",1,0.492859838541491,2016-03-17,15,4
"57",7,"f","juvenil","nest","2016-04-02","r","",738843.497563,326577.291984,239.981597900391,171.497482792164,12.08,0,"2016-03-21","57",1,0.492859838541491,2016-03-17,16,4
"57",8,"f","juvenil","nest","2016-04-03","r","",738844.255145,326576.302566,238.055130004883,1.24598644059505,12.08,0,"2016-03-21","57",1,0.492859838541491,2016-03-17,17,4
"57",9,"f","juvenil","nest","2016-04-06","r","",738828.863419,326587.523067,244.263061523438,19.0450216804951,12.08,0,"2016-03-21","57",1,0.492859838541491,2016-03-17,20,4
"57",10,"f","juvenil","nest","2016-04-07","r","",738843.188746,326578.065821,239.363388061523,17.163325966364,12.08,0,"2016-03-21","57",3,0.492859838541491,2016-03-17,21,4
"57",11,"f","juvenil","nest","2016-04-11","r","",738838.469922,326580.774201,236.129348754883,5.44013917423064,12.08,0,"2016-03-21","57",1,0.492859838541491,2016-03-17,25,4
